电影ID,电影名称,电影描述,电影排序标题,演员,导演,上映时间,发行商,电影时长,标签,文件地址,视频编码,视频宽度,视频高度,视频时间
movie-021,终结者2：审判日,更先进的T-1000被派来杀死少年时代的约翰·康纳,终结者2,阿诺德·施瓦辛格|琳达·汉密尔顿|罗伯特·帕特里克|艾伦·诺顿,詹姆斯·卡梅隆,1991,卡罗可影业,137,科幻|动作|惊悚,D:/Movies/终结者2审判日.mp4,H264,1920,1080,8220
movie-022,回到未来,高中生马蒂通过时间旅行回到1955年,回到未来,迈克尔·J·福克斯|克里斯托弗·劳埃德|莉娅·汤普森|克里斯平·格洛弗,罗伯特·泽米吉斯,1985,环球影业,116,科幻|喜剧|冒险,D:/Movies/回到未来.mp4,H264,1920,1080,6960
movie-023,星球大战：新希望,莱娅公主和反抗军对抗银河帝国的史诗开篇,星球大战新希望,马克·哈米尔|哈里森·福特|凯丽·费雪|亚历克·吉尼斯,乔治·卢卡斯,1977,二十世纪福克斯,121,科幻|动作|冒险,D:/Movies/星球大战新希望.mp4,H264,1920,1080,7260
movie-024,ET外星人,一个男孩帮助外星人回到自己星球的故事,ET外星人,亨利·托马斯|德鲁·巴里摩尔|罗伯特·麦克诺顿|彼得·考尤特,史蒂文·斯皮尔伯格,1982,环球影业,115,科幻|家庭|奇幻,D:/Movies/ET外星人.mp4,H264,1920,1080,6900
movie-025,大白鲨,一只巨型大白鲨袭击海滨小镇的惊悚故事,大白鲨,罗伊·沙伊德尔|罗伯特·肖|理查德·德莱弗斯|洛琳·加里,史蒂文·斯皮尔伯格,1975,环球影业,124,惊悚|冒险|恐怖,D:/Movies/大白鲨.mp4,H264,1920,1080,7440
movie-026,夺宝奇兵,考古学家印第安纳·琼斯寻找约柜的冒险故事,夺宝奇兵,哈里森·福特|凯伦·阿兰|保罗·弗里曼|罗纳德·莱西,史蒂文·斯皮尔伯格,1981,派拉蒙影业,115,动作|冒险,D:/Movies/夺宝奇兵.mp4,H264,1920,1080,6900
movie-027,闪灵,作家杰克带着家人入住酒店后精神崩溃,闪灵,杰克·尼科尔森|谢莉·杜瓦尔|丹尼·劳埃德|巴里·尼尔森,斯坦利·库布里克,1980,华纳兄弟,146,恐怖|剧情|惊悚,D:/Movies/闪灵.mp4,H264,1920,1080,8760
movie-028,银翼杀手,追捕逃亡复制人的未来派科幻电影,银翼杀手,哈里森·福特|肖恩·杨|鲁特格尔·哈尔|爱德华·詹姆斯·奥尔莫斯,雷德利·斯科特,1982,华纳兄弟,117,科幻|剧情|惊悚,D:/Movies/银翼杀手.mp4,H264,1920,1080,7020
movie-029,人鬼情未了,男子死后成为鬼魂守护女友的浪漫悲剧,人鬼情未了,帕特里克·斯威兹|黛咪·摩尔|乌比·戈德堡|托尼·戈德温,杰瑞·扎克,1990,派拉蒙影业,128,剧情|喜剧|爱情,D:/Movies/人鬼情未了.mp4,H264,1920,1080,7680
movie-030,壮志凌云,美国海军战斗机飞行员训练和成长的故事,壮志凌云,汤姆·克鲁斯|凯莉·麦吉利斯|方·基默|蒂姆·罗宾斯,托尼·斯科特,1986,派拉蒙影业,110,动作|剧情,D:/Movies/壮志凌云.mp4,H264,1920,1080,6600
