电影ID,电影名称,电影描述,电影排序标题,演员,导演,上映时间,发行商,电影时长,标签,文件地址,视频编码,视频宽度,视频高度,视频时间
movie-101,美国x档案,前新纳粹分子丹尼尔离开帮派后的生活,美国X档案,爱德华·诺顿|爱德华·F·霍尔|贝弗莉·德安克鲁|寇史,托尼·凯耶,1998,哥伦比亚影业,119,剧情,D:/Movies/美国x档案.mp4,H264,1920,1080,7140
movie-102,死亡幻觉,一个少年发现宇宙将在圣诞前夜结束,死亡幻觉,杰克·吉伦哈尔|克里斯蒂娜·里奇|米歇尔·威廉姆斯|大卫·伯根,理查德·凯利,2001,新线电影,113,剧情|科幻|惊悚,D:/Movies/死亡幻觉.mp4,H264,1920,1080,6780
movie-103,分裂,一个男人有23重人格，绑架了三个女孩,分裂,詹姆斯·麦卡沃伊|安雅·泰勒-乔伊|李察·克利尔|贝蒂·布赫里,M·奈特·沙马兰,2016,环球影业,117,惊悚|恐怖|剧情,D:/Movies/分裂.mp4,H264,1920,1080,7020
movie-104,不死劫,一个轮椅人发现自己拥有不死之身,不死劫,布鲁斯·威利斯|塞缪尔·L·杰克逊|罗宾·怀特|卡拉·古奇诺,M·奈特·沙马兰,2000,试金石影业,106,剧情|惊悚|悬疑,D:/Movies/不死劫.mp4,H264,1920,1080,6360
movie-105,招魂,超自然现象研究者调查一家人被恶灵侵扰,招魂,维拉·法米加|帕特里克·威尔逊|莉莉·泰勒|罗恩·利文斯顿,詹姆斯·温,2013,新线电影,112,惊悚|恐怖|剧情,D:/Movies/招魂.mp4,H264,1920,1080,6720
movie-106,潜伏,一个家庭发现他们的孩子被恶灵替换,潜伏,琳·沙莱|艾米·马蒂|亚历克斯·霍尔|泰勒,詹姆斯·温,2011,新线电影,103,惊悚|恐怖|悬疑,D:/Movies/潜伏.mp4,H264,1920,1080,6180
movie-107,小丑回魂,一群孩子面对一个能变身的小丑的恐怖故事,小丑回魂,杰顿·李博赫|菲恩·伍法德|杰里米·雷·泰勒|卓丹·穆尔,安德斯·马斯切蒂,2017,华纳兄弟,135,惊悚|恐怖|剧情,D:/Movies/小丑回魂.mp4,H264,1920,1080,8100
movie-108,修女,《招魂2》中恶魔修女的独立起源故事,修女,泰沙·法米加|乔纳斯·布洛特利|英格拉斯·弗雷泽|维尔纳·德博,科林·哈迪,2018,新线电影,96,惊悚|恐怖|悬疑,D:/Movies/修女.mp4,H264,1920,1080,5760
movie-109,僵尸世界大战,僵尸病毒席卷全球，一个人类孤注一掷寻找解决方法,僵尸世界大战,布拉德·皮特|穆耶·塞佩莱|范妮莎·勃拉罕|大卫·奥伊罗,马克·福斯特,2013,派拉蒙影业,116,动作|恐怖|科幻,D:/Movies/僵尸世界大战.mp4,H264,1920,1080,6960
movie-110,白宫沦陷,朝鲜激进派攻击美国白宫的故事,白宫沦陷,查宁·塔图姆|杰米·福克斯|杰森·帕特里克|玛丽娅·贝罗,罗兰·艾默里奇,2013,索尼影业,131,动作|惊悚|剧情,D:/Movies/白宫沦陷.mp4,H264,1920,1080,7860
movie-111,伦敦陷落,恐怖分子在各国元首葬礼上袭击伦敦,伦敦陷落,杰拉德·巴特勒|艾伦·艾克哈特|摩根·弗里曼|夏洛特·威尔斯,巴巴克·纳贾菲,2016,千年影业,99,动作|惊悚|剧情,D:/Movies/伦敦陷落.mp4,H264,1920,1080,5940
